headline,date,doc_type,material_type,section,keywords
Turning Point: Hilary Swift,2015-08-01,article,News,,"['Demonstrations, Protests, and Riots', 'Photography']"
I’m Not Mad. That’s Just My RBF.,2015-08-01,article,News,,"['Women and Girls', 'Face']"
My Dinner With Longevity Expert Dan Buettner (No Kale Required),2015-08-01,article,News,,"['Diet and Nutrition', 'Longevity', 'Books and Literature', 'Food']"
Censure and Clashes After West Bank Attack,2015-08-01,article,News,,"['Palestinians', 'Demonstrations, Protests and Riots', 'ARSON', 'Defense and Military Forces']"
A Late Summer Night’s Dream on Michigan’s Mackinac Island,2015-08-01,article,News,,"['Travel and Vacations', 'Theater']"
120 Degrees and No Relief? ISIS Takes Back Seat for Iraqis,2015-08-01,article,News,,['Electric Light and Power']
U.S. Declassifies FISA Court Documents about the Protect America Act,2015-08-01,multimedia,Interactive Feature,,"['Foreign Intelligence Surveillance Act (FISA)', 'Wiretapping and Other Eavesdropping Devices and Methods']"
Hot Hot Hot,2015-08-01,article,News,,['Crossword Puzzles']
When the Super Has a Drinking Problem,2015-08-01,article,Question,,"['Real Estate and Housing (Residential)', 'Building Service Employees', 'Rent Control and Stabilization', 'Elderly', 'Cooperatives', 'Wills and Estates', 'Renting and Leasing (Real Estate)']"
Joe Biden in 2016: What Would Beau Do?,2015-08-01,article,Op-Ed,,['Presidential Election of 2016']
"New Orleans Hospital Is Replaced, With Hope of Preserving Its Mission",2015-08-01,article,News,,"['Hurricane Katrina (2005)', 'Hospitals', 'Emergency Medical Treatment']"
Farhad and Mike’s Week in Review: Twitter Problems,2015-08-01,article,News,,"['Computers and the Internet', 'Social Media', 'Company Reports']"
Variety: Puns and Anagrams,2015-08-01,article,News,,['Crossword Puzzles']
Small Pool of Rich Donors Dominates Election Giving,2015-08-01,article,News,,"['Presidential Election of 2016', 'Campaign Finance', 'Political Action Committees']"
Joel S. Marcus on Taking the Ego Out of Leading,2015-08-01,article,News,,['Executives and Management (Theory)']
Providing the Soundtrack for Life’s Last Moments,2015-08-01,article,News,,"['Music', 'Death and Dying', 'Hospice Care', 'Careers and Professions', 'Elderly']"
The Strip,2015-08-01,article,Op-Ed,,"['United States Politics and Government', 'Comic Books and Strips']"
The Treat That Could Bite Your Dog Back,2015-08-01,article,News,,"['Dogs', 'Customer Relations', 'Consumer Protection']"
Mets’ Relationship With Yoenis Cespedes? It’s a Rental,2015-08-01,article,News,,"['Baseball', 'Trades (Sports)']"
"Dr. Stephen Klasko: Where Einstein, Jobs and Yoda Join Strategy Sessions",2015-08-01,article,News,,"['Colleges and Universities', 'Workplace Environment', 'Medicine and Health', 'Hospitals']"
Converse Treads Carefully in Updating Well-Worn Chuck Taylor Brand,2015-08-01,article,News,,"['Shoes and Boots', 'ADVERTISING AND MARKETING', 'Sneakers', 'Mergers, Acquisitions and Divestitures']"
Flooding Spurs Disaster Zones in Myanmar,2015-08-01,article,News,,"['Floods', 'Deaths (Fatalities)']"
Former White Sox Organist’s Offbeat Approach Resonated for Decades,2015-08-01,article,News,,"['Baseball', 'Music', 'Organs (Musical)']"
Vahé Alaverdian,2015-08-01,article,Op-Ed,,['Birds']
‘Hamilton’ and the Republican Hopefuls,2015-08-01,article,News Analysis,,"['Theater', 'Presidential Election of 2016', 'Debates (Political)']"
Republican Hypocrisy on Iran,2015-08-01,article,Editorial,,"['Editorials', 'Nuclear Weapons', 'United States Politics and Government', 'United States International Relations']"
How to Fight Doping in Sports,2015-08-01,article,Op-Ed,,"['Doping (Sports)', 'Athletics and Sports', 'Bicycles and Bicycling', 'Running']"
Is New Orleans Safe?,2015-08-01,article,Op-Ed,,"['Hurricane Katrina (2005)', 'Floods', 'Levees and Dams']"
President Obama’s Racial Renaissance,2015-08-01,article,Op-Ed,,"['Blacks', 'Black People', 'Police Brutality, Misconduct and Shootings', 'Race and Ethnicity', 'United States Politics and Government']"
Palm Oil Company Is Accused of Exploiting Liberia’s Ebola Crisis,2015-08-01,article,News,,"['Palm Oil', 'Ebola Virus', 'Land Use Policies', 'Agriculture and Farming']"
Congress Should Look Beyond the Gas Tax,2015-08-01,article,Editorial,,"['Editorials', 'Gasoline Tax (US)', 'Infrastructure (Public Works)', 'Federal Taxes (US)', 'Electric and Hybrid Vehicles', 'Roads and Traffic']"
Why the Economy Is Not Ready for an Interest Rate Increase,2015-08-01,article,Editorial,,"['Editorials', 'United States Economy', 'Interest Rates', 'Inflation (Economics)', 'Wages and Salaries']"
A New Abortion Furor,2015-08-01,article,Letter,,"['ABORTION', 'Video Recordings, Downloads and Streaming']"
Joe Biden Said to Be Taking New Look at Presidential Run,2015-08-01,article,News,,['Presidential Election of 2016']
Our Sex-Crazed Congress,2015-08-01,article,Op-Ed,,"['ABORTION', 'Birth Control and Family Planning', 'Sexually Transmitted Diseases']"
The Tortured Tale of Hillary Clinton and The Times,2015-08-01,article,Op-Ed,,"['Public Editor (Times Column)', 'Presidential Election of 2016']"
The Donald’s Gifts for Jeb Bush,2015-08-01,article,Op-Ed,,"['Presidential Election of 2016', 'Debates (Political)', 'Primaries and Caucuses', 'Polls and Public Opinion']"
"Grand Jury Indicts Texas Attorney General, Ken Paxton, on Felony Charges",2015-08-01,article,News,,['Securities and Commodities Violations']
Giants Undertake Major Renovation Projects on Both Sides of the Ball,2015-08-01,article,News,,['Football']
"Taliban Leader Urges Unity, Playing Down Peace Talk",2015-08-01,article,News,,[]
Ohio State’s Ascent Reinvigorates the Big Ten,2015-08-01,article,News,,['Football (College)']
"Aja Zanova, Top Czech Skater Who Defected to West, Dies at 84",2015-08-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Figure Skating', 'Defectors (Political)']"
In Case You Missed It: Top Articles of the Week,2015-08-01,multimedia,Interactive Feature,,['Football']
Letters to the Editor,2015-08-01,article,Letter,,"['Women and Girls', 'Athletics and Sports', 'Olympic Games', 'Genetics and Heredity', 'Testosterone', 'Gender', 'Halls of Fame']"
Bronx Residents Anxious After 4th Death From Legionnaires’ Disease,2015-08-01,article,News,,"[""Legionnaires' Disease"", 'Deaths (Fatalities)']"
Highly Coordinated,2015-08-01,multimedia,Video,,['Parachutes and Parachute Jumping']
"A.& P. Bankruptcy Means New York, Chain’s Birthplace, Will Lose Last Store ",2015-08-01,article,News,,['Bankruptcies']
"In Compromise, Pro Football Hall of Fame Offers to let Junior Seau’s Daughter Speak at Ceremony",2015-08-01,article,News,,['Football']
Inflation Paranoia as a Tribal Marker,2015-08-01,article,News,,[]
"Dr. James Jude, Who Helped Develop Use of CPR, Dies at 87",2015-08-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Surgery and Surgeons', 'Cardiopulmonary Resuscitation (CPR)', 'Heart']"
Literally Speaking,2015-08-01,article,News,,['Crossword Puzzles']
"After Deal, Europeans Are Eager to Do Business in Iran",2015-08-01,article,News,,"['Nuclear Weapons', 'International Trade and World Market', 'Embargoes and Sanctions', 'United States International Relations']"
Dry Days Bring Ferocious Start to Fire Season,2015-08-01,article,News,,"['Wildfires', 'Fires and Firefighters', 'Drought', 'Series', 'Weather', 'Trees and Shrubs']"
"Laos, Destination in Illegal Ivory Trade, So Far Eludes Global Crackdown",2015-08-01,article,News,,"['Poaching (Wildlife)', 'Smuggling', 'Endangered and Extinct Species', 'Ivory']"
Bay Area’s Disjointed Public Transit Network Inspires a Call for Harmony,2015-08-01,article,News,,['Transit Systems']
"Inquiry Faults Huma Abedin, Close Aide to Hillary Clinton",2015-08-01,article,News,,['Presidential Election of 2016']
Jets Offer Support and Tough Love to Sheldon Richardson,2015-08-02,article,News,,"['Football', 'Traffic and Parking Violations', 'Marijuana', 'Doping (Sports)']"
Medical Marijuana Dispensary Plan in the South Bronx Stirs Anxiety and Hope,2015-08-02,article,News,,['Medical Marijuana']
Enigmatic Cespedes Is Charged With Lighting Up New York Again,2015-08-02,article,News,,['Baseball']
"Buddy Emmons, Virtuoso of the Steel Guitar, Dies at 78",2015-08-02,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Guitars', 'Music']"
"Training Officers to Shoot First, and He Will Answer Questions Later",2015-08-02,article,News,,"['Police Brutality, Misconduct and Shootings', 'Psychology and Psychologists', 'Firearms']"
"Preparing for Debate, Republicans Test Themselves Against Donald Trump",2015-08-02,article,News,,"['Presidential Election of 2016', 'Debates (Political)']"
"Yoenis Cespedes Makes His Presence Felt, Indirectly, in a Win",2015-08-02,article,News,,['Baseball']
"Stepping From Class AAA to Majors, Young Yankees Pitchers Can’t Deliver",2015-08-02,article,News,,['Baseball']
Obama to Unveil Tougher Environmental Plan With His Legacy in Mind,2015-08-02,article,News,,"['Global Warming', 'Greenhouse Gas Emissions', 'Coal', 'Alternative and Renewable Energy', 'Regulation and Deregulation of Industry', 'United States Politics and Government']"
"Bianca Kaprielian, Deborah Koski",2015-08-02,article,News,,['Weddings and Engagements']
"Xela Herridge-Meyer,  John Okrent",2015-08-02,article,News,,['Weddings and Engagements']
"Stephanie Langdon, Taishon Black",2015-08-02,article,News,,['Weddings and Engagements']
"Rachel Newman, Adir Glick",2015-08-02,article,News,,['Weddings and Engagements']
Trang To and Wilson Tong,2015-08-02,article,News,,['Weddings and Engagements']
"Caroline Adler, Tristan Morales  ",2015-08-02,article,News,,['Weddings and Engagements']
"Kylie Wakefield,  Danny Lobell",2015-08-02,article,News,,['Weddings and Engagements']
"Catherine Lacey, Peter Musante",2015-08-02,article,News,,['Weddings and Engagements']
"Kira Segal,  Matthew McCarthy",2015-08-02,article,News,,['Weddings and Engagements']
"Jennifer Phelps, Peter Smith",2015-08-02,article,News,,['Weddings and Engagements']
Christina Siliciano and Enrique Hernandez III,2015-08-02,article,News,,['Weddings and Engagements']
"Kristin Perkins, Ezekiel Hill",2015-08-02,article,News,,['Weddings and Engagements']
"Hawthorne Hart,  Patrick McGrath",2015-08-02,article,News,,['Weddings and Engagements']
Lee Bruner and Karsten Vagner,2015-08-02,article,News,,['Weddings and Engagements']
"Margaret Laney, Jeffrey Silver",2015-08-02,article,News,,['Weddings and Engagements']
"Allison Zimmer, Joshua Occhiogrosso-Schwartz",2015-08-02,article,News,,['Weddings and Engagements']
"Jessica Leibowitz, Daniel Weisfeld",2015-08-02,article,News,,['Weddings and Engagements']
"Ekene Obi-Okoye, Ifeanyi Ojukwu",2015-08-02,article,News,,['Weddings and Engagements']
"Lisa Fund, David Berg",2015-08-02,article,News,,['Weddings and Engagements']
"Lillian Darché, Mark Johnston Jr.",2015-08-02,article,News,,['Weddings and Engagements']
"Erin Kuykendall,  Abraham Thomas",2015-08-02,article,News,,['Weddings and Engagements']
"Micole Horowitz, Yaron Weitzman",2015-08-02,article,News,,['Weddings and Engagements']
"Kathryn Lavelle, James Young",2015-08-02,article,News,,['Weddings and Engagements']
"Maureen Kickham, Alexander James",2015-08-02,article,News,,['Weddings and Engagements']
"Sandra Bruno, Gustavo Licón",2015-08-02,article,News,,['Weddings and Engagements']
Laura Hoguet and  Jeffrey Leonard,2015-08-02,article,News,,['Weddings and Engagements']
"Elaine Wong,  Christian Littlejohn",2015-08-02,article,News,,['Weddings and Engagements']
"Andrea Spector, Joseph Mandelbaum",2015-08-02,article,News,,['Weddings and Engagements']
"Stacey Kallem,  Brian Kauffman",2015-08-02,article,News,,['Weddings and Engagements']
"Deborah Lapidus, Adam Margolin: His Walk Down the Aisle Leads to Theirs",2015-08-02,article,News,,['Weddings and Engagements']
"Dominique Gómez, Mark Wittman",2015-08-02,article,News,,['Weddings and Engagements']
"Kayla Hamberg, Matthew Goldwasser",2015-08-02,article,News,,['Weddings and Engagements']
Erin Carpenter and Kwame Owusu-Kesse,2015-08-02,article,News,,['Weddings and Engagements']
"Saba Faranaz, Khairul Kabir",2015-08-02,article,News,,['Weddings and Engagements']
"Mary Williams, Abraham Clayman",2015-08-02,article,News,,['Weddings and Engagements']
