headline,date,doc_type,material_type,section,keywords
American Solo Sailor May Change a Culture,2014-06-01,article,News,,"['Sailboats and Sailing', 'Vendee Globe Challenge', 'Boats and Boating']"
Identity Intelligence: Image Is Everything,2014-06-01,multimedia,Interactive Feature,,['Surveillance of Citizens by Government']
Lesson for P.O.W.’s Father: Men Sometimes Do Come Back,2014-06-01,article,News,,"['Prisoners of War', 'Afghanistan War (2001- )']"
Police Search for Upset Teenager Who Sank Into the Hudson,2014-06-01,article,News,,['Teenagers and Adolescence']
Players Seek Approval of $40 Million Deal in Video Games Case,2014-06-01,article,News,,"['College Athletics', 'Computer and Video Games']"
"After 5 Months of Sales, Colorado Sees the Downside of a Legal High",2014-06-01,article,News,,"['Drug Abuse and Traffic', 'Marijuana', 'Law and Legislation', 'Traffic Accidents and Safety', 'Crime and Criminals', 'Children and Childhood', 'Emergency Medical Treatment', 'Deaths (Fatalities)']"
Environmental Groups Focus on Change by Strengthening Their Political Operations,2014-06-01,article,News,,"['Greenhouse Gas Emissions', 'Global Warming', 'Environment', 'Political Action Committees']"
"Winning Lottery Numbers for May 31, 2014",2014-06-01,article,List,,['Lotteries']
N.S.A. Collecting Millions of Faces From Web Images,2014-06-01,article,News,,"['Computer Vision', 'Surveillance of Citizens by Government', 'Identification Devices', 'Face', 'Computers and the Internet']"
"Another Slog for Mets, but This Time, It’s Worth It",2014-06-01,article,News,,['Baseball']
A Soldier Is Missing. What Comes Next?,2014-06-01,article,List,,"['Prisoners of War', 'United States Defense and Military Forces', 'Afghanistan War (2001- )']"
‘Orphan Black’ Recap: Verbal Knife Fights End in the Cut of Truth,2014-06-01,article,News,,['Television']
"An Entertaining Match, Not Only for the Volleys",2014-06-01,article,News,,"['Tennis', 'French Open (Tennis)']"
Texas Beer Finds Home in the Heart of New York,2014-06-01,article,News,,"['Beer', 'Bars and Nightclubs', 'Seasons and Months']"
"With More Inmates on Dialysis, Officials Deal With Rising Costs",2014-06-01,article,News,,"['Dialysis', 'Prisons and Prisoners']"
When a Favor Goes Beyond a Courtesy,2014-06-01,article,News,,"['ADMISSIONS STANDARDS', 'Colleges and Universities']"
Two Works Recount Texas A&M’s Flight to Another League,2014-06-01,article,News,,['College Athletics']
"Quotation of the Day for Sunday, June 1, 2014",2014-06-01,article,Quote,,[]
From 2014: Obama on Soldier’s Release,2014-06-01,multimedia,Video,,['Prisoners of War']
"Katherine Reid, Matthew Vacca",2014-06-01,article,News,,['Weddings and Engagements']
"Boldness, Rewarded in Kind",2014-06-01,article,News,,['Weddings and Engagements']
"Celia Atassi, Adam Namoury",2014-06-01,article,News,,['Weddings and Engagements']
"Nora Yoo, Clayton Carroll",2014-06-01,article,News,,['Weddings and Engagements']
"Tara Thomas, Brandon Sammut",2014-06-01,article,News,,['Weddings and Engagements']
"Amanda Goodyke, Christian Damon",2014-06-01,article,News,,['Weddings and Engagements']
"Madeline Kamin, Michael Murphy",2014-06-01,article,News,,['Weddings and Engagements']
Thomas Peyser and Christopher Kogut,2014-06-01,article,News,,['Weddings and Engagements']
"Rebecca Hummel, Joseph Holliday",2014-06-01,article,News,,['Weddings and Engagements']
Esther Lee and Abraham Kim,2014-06-01,article,News,,['Weddings and Engagements']
Colleen Roh and Gerard Sinzdak,2014-06-01,article,News,,['Weddings and Engagements']
"Kristine Charbonneau, Conner O’Keefe",2014-06-01,article,News,,['Weddings and Engagements']
Alison Devenny and Edward Stautberg,2014-06-01,article,News,,['Weddings and Engagements']
"Rafael Cornejo, Anthony Sánchez",2014-06-01,article,News,,['Weddings and Engagements']
"Elizabeth Edelstein, Kenneth Payumo",2014-06-01,article,News,,['Weddings and Engagements']
"Jessica Parker, Matthew Brenner",2014-06-01,article,News,,['Weddings and Engagements']
"Julia Hilton, Robert Shuhy Jr.",2014-06-01,article,News,,['Weddings and Engagements']
"Jessica Gordon, Shanon LaCorte",2014-06-01,article,News,,['Weddings and Engagements']
"Laura Wexler, John Padro",2014-06-01,article,News,,['Weddings and Engagements']
"Shelley Capito, Colin Macleod",2014-06-01,article,News,,['Weddings and Engagements']
Jennifer Reese and John Cheever,2014-06-01,article,News,,['Weddings and Engagements']
"Sarah Rubin, Alexander Cohen",2014-06-01,article,News,,['Weddings and Engagements']
"Judith Briant, George Anesi",2014-06-01,article,News,,['Weddings and Engagements']
Caitlin Dunn and Alex Conant,2014-06-01,article,News,,['Weddings and Engagements']
"Melanie Burke, Eric Soufer",2014-06-01,article,News,,['Weddings and Engagements']
"Anna-Maria Demetriades, Harry Demas",2014-06-01,article,News,,['Weddings and Engagements']
"Gisela Winckler, Joerg Schaefer",2014-06-01,article,News,,['Weddings and Engagements']
"Amanda Pisano, Jonathan Sieg",2014-06-01,article,News,,['Weddings and Engagements']
A Romance on Stage and Television,2014-06-01,article,News,,['Weddings and Engagements']
"Andrea Rockey, Douglas Behrman",2014-06-01,article,News,,['Weddings and Engagements']
"Sarah Ifft, Charles Decker",2014-06-01,article,News,,['Weddings and Engagements']
"Alexandra Shookhoff, Jason Fuhrman",2014-06-01,article,News,,['Weddings and Engagements']
"Laura Roche, Giovanni Camera",2014-06-01,article,News,,['Weddings and Engagements']
"Rachel Adler, Adam Zalisk",2014-06-01,article,News,,['Weddings and Engagements']
"Laura Lombardi, Jason Karl",2014-06-01,article,News,,['Weddings and Engagements']
"Katie Ostrager, William Morel",2014-06-01,article,News,,['Weddings and Engagements']
The Penguins Played Their Part,2014-06-01,article,News,,['Weddings and Engagements']
An Online Surprise,2014-06-01,article,News,,['Weddings and Engagements']
Cuomo Secures Support of Working Families Party,2014-06-01,article,News,,"['Endorsements', 'Elections, Governors']"
Duncan Gives Spurs Another Shot at the Heat,2014-06-01,article,News,,"['Basketball', 'Playoff Games']"
"Corrections: June 1, 2014",2014-06-01,article,News,,[]
Philadelphia Inquirer Co-Owner Among 7 Killed in Massachusetts Plane Crash,2014-06-01,article,News,,"['Aviation Accidents and Safety', 'Deaths (Fatalities)', 'News and News Media', 'Private Aircraft', 'Newspapers']"
"Test Yourself | E.L.L. Practice, June 2, 2014",2014-06-01,article,News,,[]
Study May Alter Approach to Prostate Cancer,2014-06-01,article,News,,"['Prostate Cancer', 'Breast Cancer', 'Chemotherapy']"
Tracking Obama’s Climate Rules for Power Plants,2014-06-01,article,News,,"['Carbon Dioxide', 'Coal', 'Electric Light and Power', 'Global Warming', 'Greenhouse Gas Emissions']"
In Our Pages: June 2,2014-06-01,article,News,,"['Defense and Military Forces', 'Maritime Accidents and Safety', 'Politics and Government', 'Submarines and Submersibles']"
"Long After a Divorce, the Question of Family Photographs Lingers",2014-06-01,article,News,,"['Children and Childhood', 'Divorce, Separations and Annulments', 'Parenting']"
Hagel Celebrates U.S. Soldier’s Release With a Surprise Afghan Visit ,2014-06-01,article,News,,"['Prisoners of War', 'Afghanistan War (2001- )', 'United States Defense and Military Forces']"
World’s Best Dad,2014-06-01,article,News,,['Crossword Puzzles']
Suspect Held in Jewish Museum Killings,2014-06-01,article,News,,"['Terrorism', 'Murders and Attempted Murders']"
"Intruders for the Plugged-In Home, Coming In Through the Internet",2014-06-01,article,News,,"['Computer Security', 'Cyberattacks and Hackers', 'iPad', 'iPhone', 'Privacy', 'Smartphones']"
What’s On Sunday,2014-06-01,article,Schedule,,[]
"Federer’s Exit Is No Shock, Especially to His Opponent",2014-06-01,article,News,,"['French Open (Tennis)', 'Tennis']"
Small Businesses Trying to Stay Afloat in Chelsea’s Rising Tide of Wealth,2014-06-01,article,News,,"['Renting and Leasing (Real Estate)', 'Small Business']"
Google Glass Enters the Operating Room,2014-06-01,article,News,,"['Hospitals', 'Medicine and Health', 'Surgery and Surgeons', 'Wearable Computing']"
Mexico Authorizes Arrests in Fraud at Citigroup Unit,2014-06-01,article,News,,[]
Bouchard Helps Ensure a Big Day for Canada,2014-06-01,article,News,,"['French Open (Tennis)', 'Tennis']"
Three Kidnapped Missionaries Are Freed in Cameroon,2014-06-01,article,News,,"['Kidnapping', 'Priests', 'Nuns', 'Missionaries']"
President of Georgian Abkhazia Resigns Under Pressure ,2014-06-01,article,News,,"['Appointments and Executive Changes', 'Demonstrations, Protests, and Riots']"
"Lewis Katz, Victor in Fight to Own Philadelphia Inquirer, Dies at 72",2014-06-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Aviation Accidents and Safety']"
"‘Maleficent’ Casts Spell, Burying ‘Ways to Die’",2014-06-01,article,News,,['Movies']
Tony Awards Predictions: Leading Actress in a Musical,2014-06-01,article,News,,"['Theater', 'Tony Awards (Theater Awards)']"
Administration Defends Swap With Taliban to Free U.S. Soldier,2014-06-01,article,News,,"['Prisoners of War', 'United States Defense and Military Forces', 'Afghanistan War (2001- )']"
Love-Struck Hero in a Quandary: The Other Woman’s a Real Doll,2014-06-01,article,Review,,['Dancing']
Six Climbers Are Missing on Mount Rainier,2014-06-01,article,News,,"['Missing Persons', 'Avalanches', 'Mountain Climbing']"
"At WWDC, Apple Is Set to Make Push Into Monitoring Health and Home",2014-06-01,article,News,,"['Smartphones', 'Mobile Applications', 'Home Appliances', 'Exercise']"
Prospecting for Riches in Broadway Bombs,2014-06-01,article,Review,,"['Music', 'Theater']"
"A Lawman With a Lot to Deal With, Including Himself",2014-06-01,article,News,,['Television']
Obama to Take Action to Slash Coal Pollution,2014-06-01,article,News,,"['Coal', 'Global Warming', 'Greenhouse Gas Emissions', 'Electric Light and Power', 'Carbon Dioxide', 'Air Pollution']"
"Mentally, G.I. Has Long Path Back to Idaho",2014-06-01,article,News,,"['United States Defense and Military Forces', 'Prisoners of War', 'Afghanistan War (2001- )', 'Psychology and Psychologists']"
The Bergdahls’ News Conference,2014-06-01,multimedia,Video,,['Prisoners of War']
Another Ending for Arsenio Hall,2014-06-01,article,Brief,,['Television']
"Yankees’ Robertson Fails, Making Twins’ Hughes a Winner",2014-06-01,article,News,,['Baseball']
"Relevant? Nurturing? Well, So’s Your Old Man",2014-06-01,article,Review,,"['Parenting', 'Books and Literature', 'Children and Childhood']"
"Mermaids’ Flashlights, and Other Illuminations",2014-06-01,article,Review,,"['Dancing', 'Lighthouses and Lightships']"
Skirball Announces  Its 2014-15 Season,2014-06-01,article,Brief,,"['Theater', 'Culture (Arts)']"
"For Ensembles and Singers, a Night of Backbreaking Labor",2014-06-01,article,Review,,"['Music', 'Classical Music']"
A Composer’s Sensual Side,2014-06-01,article,Review,,"['Classical Music', 'Music']"
Hachette Chief Leads Book Publishers in Amazon Fight,2014-06-01,article,News,,"['Book Trade and Publishing', 'Books and Literature', 'E-Books and Readers']"
Showcasing Music Till the Sun Comes Up,2014-06-01,article,News,,"['Music', 'Rock Music', 'Rap and Hip-Hop']"
"Returning to Ice, Rangers Have Spring in Their Strides",2014-06-01,article,News,,"['Stanley Cup', 'Hockey, Ice']"
Library Reveals Details and Costs of Upgrade Plan,2014-06-01,article,News,,"['Libraries and Librarians', 'Restoration and Renovation', 'ARCHITECTURE']"
"A Post-Punk Band in Early Metamorphosis, Luxuriating in Unease",2014-06-01,article,Review,,['Music']
No-Trump Outscores the Major at Eastern States Regional,2014-06-01,article,News,,"['Cards and Card Games', 'Bridge (Card Game)']"
"Duda Homer Leaves Mets Delighted, if Exhausted",2014-06-01,article,News,,['Baseball']
Kind of Test,2014-06-01,article,News,,['Crossword Puzzles']
The Rise and Fall of the Goddess of Democracy,2014-06-01,article,News,,"['Demonstrations, Protests and Riots']"
News From the Advertising Industry,2014-06-01,article,News,,"['Appointments and Executive Changes', 'ADVERTISING AND MARKETING', 'Political Advertising', 'Mergers, Acquisitions and Divestitures', 'Online Advertising']"
A Digital Agency Draws a Pair of Aces in Brazil,2014-06-01,article,News,,['ADVERTISING AND MARKETING']
"The Story of Gay America, via Personal Interviews",2014-06-01,article,News,,"['Homosexuality and Bisexuality', 'Stonewall Riots (1969)', 'Transgender and Transsexual']"
Down on Modi’s Farm,2014-06-01,article,Op-Ed,,[]
Inside the Fixing: How a Gang Battered Soccer’s Frail Integrity,2014-06-01,article,News,,"['World Cup 2014 (Soccer)', 'Officiating (Sports)', 'World Cup 2010 (Soccer)', 'Soccer', 'Bribery and Kickbacks', 'Organized Crime', 'Corruption (Institutional)', 'Series', 'Gambling']"
Can the Market Stave Off Global Warming?,2014-06-01,article,News,,[]
Sex Crimes That Shouldn’t Be,2014-06-01,article,News,,"['Acquired Immune Deficiency Syndrome', 'Discrimination', 'Privacy', 'Sex']"
A River Runs Through Their Pictures and Lives,2014-06-01,multimedia,Slideshow,,[]
"America’s Highways, Running on Empty",2014-06-01,article,Op-Ed,,"['Infrastructure (Public Works)', 'Transportation', 'Gasoline Tax (US)', 'United States Economy', 'United States Politics and Government', 'Roads and Traffic', 'Federal Taxes (US)', 'Federal Budget (US)']"
Clinical Drug Trials,2014-06-01,article,Letter,,"['Clinical Trials', 'Elderly']"
